[2026-03-24T11:05:52.286Z] GET http://localhost:3000/logos/rm-no-dot-logo.png → 304 (18ms, ?B)
[2026-03-24T11:05:54.334Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-03-24T11:06:06.576Z] GET http://localhost:3000/all-events → pending (?ms, ?B)
[2026-03-24T11:06:09.005Z] GET http://localhost:3000/_next/static/webpack/fa109834ab05ed11.webpack.hot-update.json → 200 (370ms, ?B)
[2026-03-24T11:06:09.383Z] GET http://localhost:3000/_next/static/webpack/webpack.fa109834ab05ed11.hot-update.js → 200 (14ms, ?B)
[2026-03-24T11:06:09.962Z] GET http://localhost:3000/_next/static/media/36966cca54120369-s.p.woff2 → 200 (?ms, ?B)
[2026-03-24T11:06:09.963Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1774350369128 → 200 (4ms, 183575B)
[2026-03-24T11:06:09.963Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1774350369128 → 200 (13ms, 141116B)
[2026-03-24T11:06:09.963Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1774350369128 → 200 (799ms, ?B)
[2026-03-24T11:06:09.964Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (117ms, 227902B)
[2026-03-24T11:06:09.964Z] GET http://localhost:3000/_next/static/chunks/app/(app)/layout.js → 200 (132ms, 883836B)
[2026-03-24T11:06:09.964Z] GET http://localhost:3000/_next/static/chunks/app/(app)/all-events/page.js → 200 (124ms, 845972B)
[2026-03-24T11:06:10.070Z] GET http://localhost:3000/_next/static/media/b7387a63dd068245-s.woff2 → 200 (1ms, ?B)
[2026-03-24T11:06:10.071Z] GET http://localhost:3000/logos/rm-dot-logo.png → 304 (9ms, ?B)
[2026-03-24T11:06:10.071Z] GET http://localhost:3000/logos/rm-no-dot-logo.png → 304 (62ms, ?B)
[2026-03-24T11:06:10.071Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWENl6mDC_E%2F0.jpg&w=640&q=75 → 304 (62ms, ?B)
[2026-03-24T11:06:10.073Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWBR2vdjN_x%2F0.jpg&w=640&q=75 → 304 (60ms, ?B)
[2026-03-24T11:06:10.073Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWFQQwhDA48%2F0.jpg&w=640&q=75 → 304 (61ms, ?B)
[2026-03-24T11:06:10.073Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWAGbpLiOGb%2F0.jpg&w=640&q=75 → 304 (61ms, ?B)
[2026-03-24T11:06:10.073Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWGoM6nDO7Z%2F0.jpg&w=640&q=75 → 304 (76ms, ?B)
[2026-03-24T11:06:10.073Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDVdeYXVCK9C%2F0.jpg&w=640&q=75 → 200 (76ms, 38268B)
[2026-03-24T11:06:10.073Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDVgXKGTl9bQ%2F0.jpg&w=640&q=75 → 200 (630ms, 80752B)
[2026-03-24T11:06:10.073Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDVwM3IEjPDd%2F0.jpg&w=640&q=75 → 200 (522ms, 46676B)
[2026-03-24T11:06:10.073Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWMiztjjVL_%2F0.jpg&w=640&q=75 → 200 (663ms, 56530B)
[2026-03-24T11:06:10.073Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWG5ojUDYZM%2F0.jpg&w=640&q=75 → 200 (524ms, 33754B)
